delta,snum,s_topic,description,document_url,s_creator_user_id,s_code_language,env_kind,s_content_type,code_url,code_identifier,product_url,product_image_url,is_runnable,is_deployable,is_docker,s_updated_yyyy,s_updated_mm,updated_day,yyyy_mm_dd
-,Dw-We1,Web Apps,What are web applications? Different types of web apps? Tools available,https://www.ibm.com/developerworks/web/newto/,9999,js,nodejs:6,HTML text ,https://www.ibm.com/developerworks/web/newto/,New to Web Development,,,,,,2017,6,27,2017_06_27
-,Dw-We2,Web Apps,Hands on: Creating web applications using eclipse and tomcat,https://www.ibm.com/developerworks/library/os-eclipse-tomcat/index.html,10000,js,nodejs:7,HTML text,https://www.ibm.com/developerworks/library/os-eclipse-tomcat/index.html,Developing Web applications with Tomcat and Eclipse,,,,,,2017,6,27,2017_06_28
-,Rb-We1,Web Apps,hands on labs and rational models ,http://www.redbooks.ibm.com/abstracts/redp4880.html?Open,10001,js,nodejs:8,PDF,http://www.redbooks.ibm.com/abstracts/redp4880.html?Open,Developing Web Applications using JavaServer Pages and Servlets,,,,,,2017,6,27,2017_06_29
-,Rb-We2,Web Apps,JSF & JSP ,http://www.redbooks.ibm.com/abstracts/redp4883.html?Open,10002,js,nodejs:9,PDF,http://www.redbooks.ibm.com/abstracts/redp4883.html?Open,Developing Web Applications using JavaServer Faces,,,,,,2017,6,27,2017_06_30
-,Rb-We3,Web Apps,Section 2.2 for explaining web apps,http://www.redbooks.ibm.com/abstracts/sg247835.html?Open,10003,js,nodejs:10,PDF,http://www.redbooks.ibm.com/abstracts/sg247835.html?Open,Rational Application Developer V8 Programming Guide,,,,,,2017,6,27,2017_06_31
-,Dw-We3,Web Apps,Whole file on css,https://www.ibm.com/developerworks/library/wa-getstartedcss/,10004,js,nodejs:11,PDF,https://www.ibm.com/developerworks/library/wa-getstartedcss/,Get started with CSS,,,,,,2017,6,27,2017_06_32
-,Rb-We4,Web Apps,"Chapter 15. HTML, CSS, and JavaScript",http://www.redbooks.ibm.com/abstracts/sg248185.html?Open,10005,js,nodejs:12,PDF,http://www.redbooks.ibm.com/abstracts/sg248185.html?Open,Modernizing IBM i Applications from the Database up to the User Interface and Everything in Between,,,,,,2017,6,27,2017_06_33
-,Dw-We4,Web Apps,Explains web services,https://www.ibm.com/developerworks/webservices/newto/service.html,10006,js,nodejs:13,HTML text,https://www.ibm.com/developerworks/webservices/newto/service.html,New to SOA and web services,,,,,,2017,6,27,2017_06_34
-,Dw-We5,Web Apps,Explains web services and its architecture,https://www.ibm.com/developerworks/library/w-ovr/,10007,js,nodejs:14,PDF,https://www.ibm.com/developerworks/library/w-ovr/,Web Services architecture overview,,,,,,2017,6,27,2017_06_35
-,Rb-We5,Web Apps,Chapter 1 & 2,http://www.redbooks.ibm.com/abstracts/sg247257.html?Open,10008,js,nodejs:15,PDF,http://www.redbooks.ibm.com/abstracts/sg247257.html?Open,Web Services Handbook for WebSphere Application Server 6.1,,,,,,2017,6,27,2017_06_36
